site,url,family,classification,status,indexable_on_page,word_count,template_ratio,unique_sentence_ratio,nearest_similarity,nearest_url,doorway_risk,duplicate_risk,thin_risk,internal_links_in,internal_links_out,title,h1,canonical,gsc_clicks_28d,gsc_impressions_28d,gsc_ctr_28d,gsc_position_28d,gsc_index_status,protected
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/kalecik/ahikemal,ankara_district_service,MERGE,200,true,781,0.7814,0.1543,0.9841,https://ankaraozdemirnakliyat.com/islemler/ankara/kalecik/yenice,true,true,false,3,49,Ankara Kalecik Ahikemal Evden Eve Nakliyat | Ankara Özdemir Nakliyat,Kalecik Ahikemal . NAKLİYAT,https://ankaraozdemirnakliyat.com/islemler/ankara/kalecik/ahikemal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/kalecik/yenice,ankara_district_service,MANUAL_REVIEW,200,true,781,0.7814,0.0557,0.8432,https://ankaraozdemirnakliyat.com/islemler/ankara/pursaklar/yavuz-selim,true,false,false,3,49,Ankara Kalecik Yenice Evden Eve Nakliyat | Ankara Özdemir Nakliyat,Kalecik Yenice . TAŞIMACILIK,https://ankaraozdemirnakliyat.com/islemler/ankara/kalecik/yenice,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/kalecik/caykaya,ankara_district_service,MANUAL_REVIEW,200,true,782,0.7814,0.1543,0.7118,https://ankaraozdemirnakliyat.com/islemler/ankara/kizilcahamam/yenice,true,false,false,3,49,Ankara Kalecik Çaykaya Evden Eve Nakliyat | Ankara Özdemir Nakliyat,Kalecik Çaykaya . EVDEN EVE,https://ankaraozdemirnakliyat.com/islemler/ankara/kalecik/caykaya,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/kecioren,ankara_district,KEEP,200,true,1497,0.6509,0.3491,0.6577,https://ankaraozdemirnakliyat.com/islemler/ankara/pursaklar,false,false,false,365,78,Keçiören Evden Eve Nakliyat - Asansörlü & Sigortalı | Ankara Özdemir Nakliyat,Keçiören . NAKLİYAT,https://ankaraozdemirnakliyat.com/islemler/ankara/kecioren,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/kecioren/evden-eve-nakliyat,ankara_district_service,KEEP,200,true,1016,0.5630,0.2216,0.7949,https://ankaraozdemirnakliyat.com/islemler/ankara/kecioren/ofis-tasima,false,false,false,3,61,Keçiören Evden Eve Nakliyat | Garantili Hizmet | Ankara Özdemir Nakliyat,Keçiören Evden Eve Nakliyat,https://ankaraozdemirnakliyat.com/islemler/ankara/kecioren/evden-eve-nakliyat,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/kecioren/ofis-tasima,ankara_district_service,KEEP,200,true,995,0.5861,0.1885,0.7699,https://ankaraozdemirnakliyat.com/islemler/ankara/mamak/ofis-tasima,false,false,false,3,61,Keçiören Ofis Taşıma | Garantili Hizmet | Ankara Özdemir Nakliyat,Keçiören Ofis Taşıma,https://ankaraozdemirnakliyat.com/islemler/ankara/kecioren/ofis-tasima,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/kecioren/nakliyat-fiyatlari,ankara_district_service,KEEP,200,true,1015,0.5737,0.2004,0.7627,https://ankaraozdemirnakliyat.com/islemler/ankara/mamak/nakliyat-fiyatlari,false,false,false,2,61,Keçiören Nakliyat Fiyatları | Garantili Hizmet | Ankara Özdemir Nakliyat,Keçiören Nakliyat Fiyatları,https://ankaraozdemirnakliyat.com/islemler/ankara/kecioren/nakliyat-fiyatlari,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/kecioren/etlik,ankara_district_service,MERGE,200,true,845,0.7141,0.1671,0.9713,https://ankaraozdemirnakliyat.com/islemler/ankara/kecioren/incirli,true,true,false,29,65,Ankara Keçiören Etlik Evden Eve Nakliyat | Ankara Özdemir Nakliyat,Keçiören Etlik . TAŞIMACILIK,https://ankaraozdemirnakliyat.com/islemler/ankara/kecioren/etlik,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/kecioren/incirli,ankara_district_service,MERGE,200,true,845,0.7141,0.1671,0.9643,https://ankaraozdemirnakliyat.com/islemler/ankara/kecioren/kalaba,true,true,false,29,65,Ankara Keçiören İncirli Evden Eve Nakliyat | Ankara Özdemir Nakliyat,Keçiören İncirli . TAŞIMACILIK,https://ankaraozdemirnakliyat.com/islemler/ankara/kecioren/incirli,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/kecioren/ayvali,ankara_district_service,MANUAL_REVIEW,200,true,845,0.7141,0.1671,0.8145,https://ankaraozdemirnakliyat.com/islemler/ankara/kecioren/aktepe,true,false,false,29,65,Ankara Keçiören Ayvalı Evden Eve Nakliyat | Ankara Özdemir Nakliyat,Keçiören Ayvalı . LOJİSTİK,https://ankaraozdemirnakliyat.com/islemler/ankara/kecioren/ayvali,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
